Attribute,Group,Accuracy,Sensitivity,Specificity,FNR
race1,Asian,0.7888888888888889,0.7950310559006211,0.7368421052631579,0.20496894409937888
race1,Black,0.6765799256505576,0.6634146341463415,0.71875,0.33658536585365856
race1,Hisp,0.7330097087378641,0.7444444444444445,0.6538461538461539,0.25555555555555554
race1,Other,0.7682926829268293,0.7631578947368421,0.8333333333333334,0.23684210526315788
race1,White,0.8278622898318655,0.8355824841641422,0.5862068965517241,0.1644175158358579
gender,Male,0.8239968216130313,0.8308457711442786,0.6666666666666666,0.1691542288557214
gender,Female,0.8260427263479145,0.8289117487818083,0.7815126050420168,0.17108825121819166
True,,0.9489067380633646,0.9962406015037594,0.05752212389380531,0.0037593984962406013
